coid,year_q,RET
3135,2025Q4,55.4851
3138,2025Q4,20.2676
3141,2025Q4,16.9943
3147,2025Q4,-8.3335
3149,2025Q4,1.4405
3152,2025Q4,27.8263
3158,2025Q4,-6.6465
3162,2025Q4,2.6549
3163,2025Q4,25.3145
3164,2025Q4,-1.3438
3167,2025Q4,19.9017
3168,2025Q4,-6.1084
3169,2025Q4,8.3332
3171,2025Q4,-2.311
3176,2025Q4,6.9305
3178,2025Q4,26.6666
3188,2025Q4,-4.8896
3189,2025Q4,11.5787
3191,2025Q4,-0.2754
3205,2025Q4,12.2537
3206,2025Q4,-3.3331
3207,2025Q4,0.43
3209,2025Q4,-4.6687
3211,2025Q4,27.1701
3213,2025Q4,0.9757
3217,2025Q4,-4.7907
3218,2025Q4,-4.2624
3219,2025Q4,31.5425
3221,2025Q4,0.0
3224,2025Q4,-6.2235
3226,2025Q4,-7.7512
3227,2025Q4,-3.1099
3228,2025Q4,-8.4873
3229,2025Q4,82.8387
3230,2025Q4,-7.8627
3231,2025Q4,4.1524
3232,2025Q4,0.2089
3234,2025Q4,15.3384
3236,2025Q4,4.2435
3252,2025Q4,2.8721
3257,2025Q4,14.5664
3259,2025Q4,5.0691
3260,2025Q4,57.4647
3264,2025Q4,36.3636
3265,2025Q4,27.5203
3266,2025Q4,3.2728
3268,2025Q4,-3.0388
3272,2025Q4,2.887
3276,2025Q4,6.8027
3284,2025Q4,-4.0725
3285,2025Q4,5.1972
3287,2025Q4,-5.4637
3288,2025Q4,11.2582
3289,2025Q4,9.0048
3290,2025Q4,-1.7543
3293,2025Q4,-2.9611
3294,2025Q4,-5.0994
3296,2025Q4,17.6471
3297,2025Q4,-5.9224
3303,2025Q4,-2.9347
3305,2025Q4,8.0372
3306,2025Q4,0.0001
3308,2025Q4,36.7347
3310,2025Q4,29.7457
3311,2025Q4,-3.7097
3312,2025Q4,-5.0409
3313,2025Q4,0.685
3317,2025Q4,-6.0
3321,2025Q4,13.8357
3322,2025Q4,22.6192
3323,2025Q4,2.0357
3324,2025Q4,12.9753
3325,2025Q4,2.0594
3332,2025Q4,-1.9399
3338,2025Q4,0.1016
3339,2025Q4,-1.9493
3346,2025Q4,-1.5422
3349,2025Q4,14.8148
3354,2025Q4,69.3212
3356,2025Q4,-2.4895
3357,2025Q4,-9.0063
3360,2025Q4,12.1457
3362,2025Q4,0.7568
3363,2025Q4,21.8375
3372,2025Q4,24.5669
3373,2025Q4,-1.1173
3374,2025Q4,-4.138
3376,2025Q4,2.7918
3379,2025Q4,-6.926
3380,2025Q4,5.5558
3388,2025Q4,-0.8063
3390,2025Q4,15.0465
3402,2025Q4,13.0254
3406,2025Q4,0.5596
3413,2025Q4,-7.5001
3416,2025Q4,2.3973
3419,2025Q4,1.1627
3426,2025Q4,1.2407
3430,2025Q4,7.7327
3432,2025Q4,-1.7856
3434,2025Q4,-5.6424
3437,2025Q4,2.4911
3438,2025Q4,8.5271
3441,2025Q4,5.1821
3443,2025Q4,-5.9734
3444,2025Q4,40.3013
3447,2025Q4,3.2945
3450,2025Q4,6.9305
3455,2025Q4,23.626
3465,2025Q4,16.8617
3466,2025Q4,-12.6595
3467,2025Q4,29.3012
3479,2025Q4,-7.1138
3481,2025Q4,25.8304
3483,2025Q4,2.1691
3484,2025Q4,-5.2789
3485,2025Q4,37.6643
3489,2025Q4,15.3649
3490,2025Q4,2.4341
3491,2025Q4,32.3586
3492,2025Q4,-9.1549
3494,2025Q4,19.4175
3498,2025Q4,-2.6872
3499,2025Q4,33.6734
3501,2025Q4,1.3625
3504,2025Q4,2.2222
3508,2025Q4,12.2065
3511,2025Q4,0.9974
3512,2025Q4,6.3106
3515,2025Q4,-1.3913
3516,2025Q4,1.2658
3518,2025Q4,2.6569
3520,2025Q4,-8.0228
3521,2025Q4,-1.0562
3522,2025Q4,20.0001
3523,2025Q4,6.1453
3526,2025Q4,1.0352
3527,2025Q4,12.0923
3528,2025Q4,-1.926
3529,2025Q4,-15.4035
3530,2025Q4,20.1319
3531,2025Q4,0.693
3532,2025Q4,3.7078
3533,2025Q4,-1.145
3535,2025Q4,12.005
3537,2025Q4,-6.542
3540,2025Q4,3.6667
3541,2025Q4,1.911
3543,2025Q4,-2.4415
3545,2025Q4,-2.2685
3546,2025Q4,-5.3658
3548,2025Q4,-1.6376
3550,2025Q4,24.8121
3551,2025Q4,26.3491
3552,2025Q4,-2.0062
3555,2025Q4,22.0142
3556,2025Q4,-2.51
3557,2025Q4,2.8089
3558,2025Q4,-2.2471
3563,2025Q4,2.3256
3564,2025Q4,0.8333
3567,2025Q4,-2.1362
3570,2025Q4,-3.4987
3576,2025Q4,37.1018
3577,2025Q4,5.357
3580,2025Q4,12.4137
3581,2025Q4,2.3911
3583,2025Q4,5.5291
3587,2025Q4,-6.7839
3588,2025Q4,3.1981
3591,2025Q4,0.2723
3592,2025Q4,5.0691
3593,2025Q4,4.1667
3594,2025Q4,-1.8203
3596,2025Q4,-4.9182
3597,2025Q4,-0.3874
3605,2025Q4,-0.4799
3607,2025Q4,6.1154
3609,2025Q4,-7.5556
3611,2025Q4,-6.0325
3615,2025Q4,3.5713
3617,2025Q4,4.1874
3622,2025Q4,-6.3444
3623,2025Q4,18.8444
3624,2025Q4,13.8404
3625,2025Q4,-5.9497
3628,2025Q4,-10.7331
3629,2025Q4,-2.4642
3630,2025Q4,-1.6277
3631,2025Q4,-4.4896
3632,2025Q4,1.6949
3645,2025Q4,-4.945
3646,2025Q4,-8.4745
3652,2025Q4,-0.5183
3653,2025Q4,-5.5077
3661,2025Q4,6.2027
3663,2025Q4,22.6781
3664,2025Q4,13.9241
3665,2025Q4,-5.59
3666,2025Q4,10.2007
3669,2025Q4,13.8793
3672,2025Q4,2.7669
3673,2025Q4,-3.1175
3675,2025Q4,-1.4759
3679,2025Q4,-2.5751
3680,2025Q4,4.5156
3684,2025Q4,35.2944
3685,2025Q4,15.2779
3686,2025Q4,-0.2738
3687,2025Q4,5.5979
3689,2025Q4,10.5263
3691,2025Q4,11.3732
3693,2025Q4,-7.143
3694,2025Q4,-7.5155
3701,2025Q4,70.533
3702,2025Q4,-14.7877
3703,2025Q4,-3.0436
3704,2025Q4,-11.8457
3705,2025Q4,0.1756
3706,2025Q4,-5.7797
3707,2025Q4,4.8582
3708,2025Q4,2.7779
3709,2025Q4,-9.0659
3710,2025Q4,0.0001
3711,2025Q4,9.1504
3712,2025Q4,-6.13
3713,2025Q4,13.9303
3714,2025Q4,11.1976
3715,2025Q4,7.7796
3716,2025Q4,-2.053
3717,2025Q4,-3.1884
4102,2025Q4,0.7612
4104,2025Q4,-0.609
4105,2025Q4,-0.2449
4106,2025Q4,0.4558
4107,2025Q4,-3.984
4108,2025Q4,-4.5937
4109,2025Q4,-1.8988
4111,2025Q4,-0.6746
4113,2025Q4,16.9815
4114,2025Q4,0.7776
4116,2025Q4,-2.5411
4119,2025Q4,-1.0161
4120,2025Q4,-3.2399
4121,2025Q4,0.9707
4123,2025Q4,9.618
4126,2025Q4,-2.4054
4127,2025Q4,2.3102
4128,2025Q4,-14.5496
4129,2025Q4,-7.819
4130,2025Q4,16.1425
4131,2025Q4,20.0002
4133,2025Q4,-0.2198
4137,2025Q4,1.3039
4138,2025Q4,-5.346
4139,2025Q4,8.3883
4142,2025Q4,-3.807
4147,2025Q4,-10.264
4148,2025Q4,-4.2502
4153,2025Q4,6.4026
4154,2025Q4,3.5949
4155,2025Q4,-3.9736
4157,2025Q4,37.0144
4160,2025Q4,-3.8608
4161,2025Q4,-5.4924
4162,2025Q4,-2.7625
4163,2025Q4,-6.1225
4164,2025Q4,-2.0356
4166,2025Q4,6.3009
4167,2025Q4,1.0989
4168,2025Q4,19.7672
4169,2025Q4,-4.6832
4171,2025Q4,-6.2343
4173,2025Q4,-2.5403
4174,2025Q4,-1.4599
4175,2025Q4,2.7731
4178,2025Q4,21.8502
4183,2025Q4,-4.5977
4188,2025Q4,-5.4663
4190,2025Q4,-1.6475
4192,2025Q4,-5.8601
4198,2025Q4,-6.1697
4205,2025Q4,-3.3293
4207,2025Q4,-5.3847
4303,2025Q4,-8.8989
4304,2025Q4,-0.8376
4305,2025Q4,-0.5945
4306,2025Q4,4.4117
4401,2025Q4,-3.161
4402,2025Q4,14.8996
4406,2025Q4,4.8554
4413,2025Q4,-6.0109
4414,2025Q4,9.9524
4416,2025Q4,-8.4848
4417,2025Q4,-4.3087
4419,2025Q4,24.6511
4420,2025Q4,-0.7891
4426,2025Q4,-2.7246
4430,2025Q4,-0.2834
4432,2025Q4,-1.5014
4433,2025Q4,-1.2049
4438,2025Q4,-8.7741
4439,2025Q4,1.4286
4440,2025Q4,-4.0985
4441,2025Q4,-12.5926
4442,2025Q4,9.1743
4502,2025Q4,-0.9405
4503,2025Q4,-14.7717
4506,2025Q4,-2.049
4510,2025Q4,3.1497
4513,2025Q4,1.4165
4523,2025Q4,-0.691
4526,2025Q4,0.795
4527,2025Q4,0.7652
4528,2025Q4,1.2121
4529,2025Q4,-2.9178
4530,2025Q4,-10.4765
