coid,year_q,K_avg
6243,2020Q3,52.104194939241644
6243,2020Q4,45.4974527632363
6243,2021Q1,57.19686784742988
6243,2021Q2,42.244193750833695
6243,2021Q3,44.64930361139621
6243,2021Q4,51.77730759673867
6243,2022Q1,33.61035018945387
6243,2022Q2,36.54997776045332
6243,2022Q3,36.02909547606382
6243,2022Q4,44.23017124447014
6243,2023Q1,54.35095858652339
6243,2023Q2,55.17392689957212
6243,2023Q3,38.344850385938464
6243,2023Q4,49.65075728587247
6243,2024Q1,31.719438705400556
6243,2024Q2,39.486684601914675
6243,2024Q3,39.27126948779192
6243,2024Q4,34.90784628915173
6243,2025Q1,37.592775142557464
6243,2025Q2,42.70907303230807
6243,2025Q3,37.73093145330273
6243,2025Q4,40.6370898370763
6257,2020Q1,50.94244753849654
6257,2020Q2,65.00036985454261
6257,2020Q3,49.217914510800945
6257,2020Q4,58.948537013208316
6257,2021Q1,54.423677573930334
6257,2021Q2,57.61389768419658
6257,2021Q3,54.90912970288974
6257,2021Q4,51.10432624433922
6257,2022Q1,50.965530756777476
6257,2022Q2,44.306798424419725
6257,2022Q3,39.7975067521317
6257,2022Q4,57.14310884041671
6257,2023Q1,70.72913668279837
6257,2023Q2,59.1974594381047
6257,2023Q3,51.80080439835335
6257,2023Q4,50.43132306847894
6257,2024Q1,48.20004362060097
6257,2024Q2,48.8184620293964
6257,2024Q3,52.84187440035311
6257,2024Q4,39.4872699456509
6257,2025Q1,58.97257244937521
6257,2025Q2,68.44072185856335
6257,2025Q3,61.89871711680769
6257,2025Q4,46.36422419587921
6269,2020Q1,45.768679807119
6269,2020Q2,63.867210079775155
6269,2020Q3,52.35051293115235
6269,2020Q4,50.22305383879918
6269,2021Q1,47.95684830514439
6269,2021Q2,60.17526014295193
6269,2021Q3,37.111697135153776
6269,2021Q4,44.83944206140877
6269,2022Q1,45.54799980657383
6269,2022Q2,42.71744185635031
6269,2022Q3,58.77637525049647
6269,2022Q4,53.47148770532147
6269,2023Q1,49.02337596316592
6269,2023Q2,46.7842523350802
6269,2023Q3,43.195466598154
6269,2023Q4,44.73346227530316
6269,2024Q1,48.75115896639971
6269,2024Q2,56.06289368005242
6269,2024Q3,33.88788878402651
6269,2024Q4,38.60308155206849
6269,2025Q1,38.127224058596695
6269,2025Q2,42.938747443345804
6269,2025Q3,55.0783505816196
6269,2025Q4,41.52997008917662
6271,2020Q1,41.01829608548726
6271,2020Q2,61.26606931138485
6271,2020Q3,40.025769691768545
6271,2020Q4,42.37478022230256
6271,2021Q1,47.9072265077242
6271,2021Q2,50.50015318639887
6271,2021Q3,56.552992593952894
6271,2021Q4,56.49136362485706
6271,2022Q1,45.02932152660092
6271,2022Q2,40.12849067900303
6271,2022Q3,50.05920340613016
6271,2022Q4,51.53933825022887
6271,2023Q1,48.73723930890945
6271,2023Q2,48.15444992079841
6271,2023Q3,47.96381318273233
6271,2023Q4,50.360180098221996
6271,2024Q1,33.75944810915359
6271,2024Q2,48.46612211143046
6271,2024Q3,52.05604893643762
6271,2024Q4,44.735304478029185
6271,2025Q1,38.276275374344195
6271,2025Q2,53.73648406446092
6271,2025Q3,58.95965798954202
6271,2025Q4,49.3421385372583
6272,2020Q1,35.1823258245425
6272,2020Q2,51.083507244853415
6272,2020Q3,44.86801257756057
6272,2020Q4,47.2777680092828
6272,2021Q1,54.720196443472766
6272,2021Q2,35.60813492822247
6272,2021Q3,40.74468086957603
6272,2021Q4,45.48053404444737
6272,2022Q1,41.90210992534758
6272,2022Q2,40.045667946437675
6272,2022Q3,51.57302056179566
6272,2022Q4,67.24896157069843
6272,2023Q1,72.34004675610514
6272,2023Q2,54.53355399932965
6272,2023Q3,45.79088549295054
6272,2023Q4,71.18269870110203
6272,2024Q1,68.2212645929744
6272,2024Q2,62.366020423065564
6272,2024Q3,44.373867606632224
6272,2024Q4,41.60320575364277
6272,2025Q1,51.82450852527322
6272,2025Q2,48.15829475999322
6272,2025Q3,43.127479585374786
6272,2025Q4,40.58915890360011
6277,2020Q1,39.38075844755599
6277,2020Q2,61.712535640203185
6277,2020Q3,43.102118286260655
6277,2020Q4,55.8871429650909
6277,2021Q1,53.394194927062586
6277,2021Q2,45.625384814620254
6277,2021Q3,47.91153062466771
6277,2021Q4,49.43234787468201
6277,2022Q1,39.328488638555214
6277,2022Q2,39.69930498430447
6277,2022Q3,54.000913892836365
6277,2022Q4,54.00701423581199
6277,2023Q1,61.51401766536148
6277,2023Q2,54.047770104987556
6277,2023Q3,33.645650234076854
6277,2023Q4,61.284085217060955
6277,2024Q1,43.693785541126594
6277,2024Q2,52.68536021273567
6277,2024Q3,48.32244677941637
6277,2024Q4,46.07168684692121
