coid,year,ROA,EPS,ROE,OM,GM,FCF,total_assets,LEV
1535,2025,6.88,4.0,13.09,4.15,9.41,-0.9999252009804998,7264980,47.39
1536,2025,-2.5,-2.71,-9.07,-10.51,2.92,-116.89312918749334,21571544,63.33
1537,2025,10.79,7.95,14.32,12.07,20.36,-6.013093595857721,5800634,24.28
1538,2025,-19.1,-1.59,-31.4,-44.51,23.06,-84.93372275893057,256683,45.87
1539,2025,0.82,0.21,0.84,2.45,9.74,6.7940033926723,2148107,25.66
1540,2025,5.47,1.11,6.33,20.13,33.92,-3.7858057112592136,1640358,9.82
1541,2025,6.03,2.32,8.89,6.58,18.39,1.9300379618243064,3181040,33.53
1558,2025,5.06,5.52,7.15,9.01,26.93,12.365455271100311,12998638,34.19
1560,2025,11.81,9.28,17.55,15.99,32.48,11.6102344221957,13258011,35.97
1563,2025,2.41,1.42,3.42,8.07,21.27,-36.63969940503187,18222616,51.82
1565,2025,5.8,9.03,6.94,13.13,23.07,2.403037112960145,7806837,16.09
1568,2025,5.93,1.36,7.08,15.68,32.38,-7.976639484500013,2380321,14.86
1569,2025,-9.82,-5.61,-23.17,-17.51,-0.44,-12.242737748978314,6330612,55.82
1570,2025,2.63,0.59,2.97,7.14,24.89,-12.821938616359024,1117317,9.15
1580,2025,14.75,12.54,19.85,18.87,42.63,-11.353115948860145,4545458,25.85
1582,2025,4.41,3.45,6.81,8.67,23.54,-12.00091904551639,12919966,41.0
1583,2025,-3.97,-4.83,-8.39,-3.85,18.14,55.598770993980175,14192663,49.24
1584,2025,1.7,0.44,1.86,3.31,11.88,107.11933304477105,7941308,39.75
1586,2025,-0.41,-0.35,-1.98,-2.99,12.27,-7.403082341750992,3694628,48.1
1587,2025,1.7,0.37,1.91,2.47,19.05,-4.187268748859011,3712400,57.68
1590,2025,14.67,42.0,16.72,29.97,45.97,-12.76595744680851,57540184,8.61
1591,2025,-16.5,-2.75,-21.33,-99.86,-13.73,54.022573112420766,701805,31.33
1593,2025,5.99,2.18,8.33,9.96,31.33,1.6532639221864511,2144666,33.28
1595,2025,-2.38,-1.95,-3.8,-15.96,27.1,-51.98747187539799,3729309,27.01
1597,2025,2.58,0.91,3.31,9.27,40.99,14.854928011079368,4093274,41.16
1598,2025,-5.13,-3.35,-13.36,-6.76,35.98,-0.5764646331238276,10227005,56.31
1599,2025,-2.72,-0.84,-4.11,-8.94,19.65,-34.429975599197135,2627998,27.84
1603,2025,4.83,3.26,7.06,10.43,13.17,-14.23097633714095,12169036,37.72
1604,2025,4.09,1.7,7.33,4.98,18.68,-49.128524740695866,18848945,51.99
1605,2025,1.46,0.75,1.45,0.01,6.37,20.472663714857582,303417046,41.96
