coid,year,ppo_year_avg
1467 南緯,2022,-0.36465087650666206
1467 南緯,2023,-0.015506685467224236
1467 南緯,2024,-0.16134203294829222
1467 南緯,2025,-1.1728493802806434
1468 昶和,2020,0.5548457775217415
1468 昶和,2021,-0.19927306525773664
1468 昶和,2022,0.05306022362440462
1468 昶和,2023,0.19481912307750582
1468 昶和,2024,-0.17227420980795302
1468 昶和,2025,-0.47018701839324406
1470 大統新創,2020,-0.22268861774047952
1470 大統新創,2021,0.027649770753063695
1470 大統新創,2022,0.07442959722044061
1470 大統新創,2023,0.14012138944721458
1470 大統新創,2024,0.19802073612751267
1470 大統新創,2025,0.34202468850464174
1471 首利,2020,1.2393695021627524
1471 首利,2021,0.5677079742945798
1471 首利,2022,-0.1889449631457411
1471 首利,2023,1.4060974328694893
1471 首利,2024,-0.48403164852465896
1471 首利,2025,-1.3215584888805647
1472 三洋實業,2020,-2.1788896878231525
1472 三洋實業,2021,-0.2051818926437946
1472 三洋實業,2022,-0.7922774178197332
1472 三洋實業,2023,1.9784997771599937
1472 三洋實業,2024,0.11891172681223536
1472 三洋實業,2025,1.0364029376999735
1473 台南,2020,-0.4699191460439628
1473 台南,2021,-0.017541884010524363
1473 台南,2022,0.2707141969144492
1473 台南,2023,0.7071806900579519
1473 台南,2024,0.33527183736705574
1473 台南,2025,-0.8266971960896473
1474 弘裕,2020,0.46429633513327234
1474 弘裕,2021,0.32744043596977057
1474 弘裕,2022,-0.3882101855394144
1474 弘裕,2023,0.062125252095049946
1474 弘裕,2024,0.12876490969076732
1474 弘裕,2025,-0.3246673845121599
1475 業旺,2020,3.0415918902152588
1475 業旺,2021,0.8691908789430421
1475 業旺,2022,0.46312249400689737
1475 業旺,2023,-0.8425495530233904
1475 業旺,2024,0.586872293200832
1475 業旺,2025,-1.3638696329317659
1476 儒鴻,2020,-0.010594708479240407
1476 儒鴻,2021,0.8163677684159637
1476 儒鴻,2022,-0.47361410898196404
1476 儒鴻,2023,0.3890726036312224
1476 儒鴻,2024,-0.14592523297547716
1476 儒鴻,2025,-0.5997607125376667
1477 聚陽,2020,0.3634913786939729
1477 聚陽,2021,0.5706816145990455
1477 聚陽,2022,-0.022994074390558585
1477 聚陽,2023,0.8189228394888771
1477 聚陽,2024,-0.05942866163750425
1477 聚陽,2025,-0.05342932107536234
1503 士電,2020,0.2516774642058145
1503 士電,2021,0.17448296713820352
1503 士電,2022,0.2424339210789823
1503 士電,2023,1.2060911581834222
1503 士電,2024,0.746746395837082
1503 士電,2025,-0.353459991998313
1504 東元,2020,0.13275936227161328
1504 東元,2021,0.2534622434099649
1504 東元,2022,-0.12866725835043522
1504 東元,2023,0.9721942944164652
1504 東元,2024,0.29759688047388844
1504 東元,2025,1.482289012444115
1506 正道,2020,-0.5812658108895892
1506 正道,2021,0.5329846052457692
1506 正道,2022,0.2729511698583405
1506 正道,2023,-0.0677490540528827
1506 正道,2024,-0.5306474776074063
1506 正道,2025,-0.3016276567561591
1512 瑞利,2020,-0.07546796171573651
1512 瑞利,2021,-0.23894481042880744
1512 瑞利,2022,0.2374086829167476
1512 瑞利,2023,-0.0661723736552967
1512 瑞利,2024,-1.1880470117174278
1512 瑞利,2025,0.3423288890755708
1513 中興電,2020,1.6960865052149494
1513 中興電,2021,-0.3496628840952606
1513 中興電,2022,0.7765392274059763
1513 中興電,2023,1.1257771445542852
1513 中興電,2024,0.4393283122559692
1513 中興電,2025,-0.029769746463105578
1514 亞力,2020,0.8657556347513016
1514 亞力,2021,0.04126294074193367
1514 亞力,2022,0.40410889459319277
1514 亞力,2023,1.886118422570507
1514 亞力,2024,0.4049967226648258
1514 亞力,2025,-0.004672250666402932
1515 力山,2020,-0.06787461362537703
1515 力山,2021,-0.44399027239857514
1515 力山,2022,-1.0459499541079385
1515 力山,2023,0.9208306552568166
1515 力山,2024,-1.0119301463895245
1515 力山,2025,-0.194503434248645
1516 川飛,2020,0.7530862764618477
1516 川飛,2021,0.14073577365786044
1516 川飛,2022,-0.23676274478826445
1516 川飛,2023,0.03472638598161985
1516 川飛,2024,-0.04244911194347869
1516 川飛,2025,0.21367738404763556
1517 利奇,2020,0.7911138990108696
1517 利奇,2021,1.1006352791145866
1517 利奇,2022,-0.4741715991180832
1517 利奇,2023,-0.44649935738503116
1517 利奇,2024,-0.15921395551793774
1517 利奇,2025,-0.6489553013797253
1519 華城,2020,1.0927850899607685
1519 華城,2021,-0.5843177823391447
1519 華城,2022,0.5324353142562598
1519 華城,2023,3.470067863784036
1519 華城,2024,0.9790691734830799
1519 華城,2025,1.052886016569645
1521 大億,2020,-0.1770515394034652
1521 大億,2021,-0.5453775314097116
1521 大億,2022,-0.23333254042677867
1521 大億,2023,0.41692460712855794
1521 大億,2024,-0.627955901151256
1521 大億,2025,-0.6202142124528093
1522 堤維西,2020,-0.46159011708398195
1522 堤維西,2021,-0.22508072642118554
1522 堤維西,2022,0.6490144227965191
1522 堤維西,2023,0.8397395695213541
1522 堤維西,2024,0.8127278178490663
1522 堤維西,2025,-0.6769419389007482
1524 耿鼎,2020,0.057706329301877524
1524 耿鼎,2021,0.21841441678001466
1524 耿鼎,2022,1.391470834031598
1524 耿鼎,2023,0.672329326437172
1524 耿鼎,2024,0.32133656020354034
1524 耿鼎,2025,-0.689093432067181
1525 江申,2020,0.3351004710354216
1525 江申,2021,-0.11684405299710565
1525 江申,2022,-0.02595904130489945
1525 江申,2023,0.570283642594005
1525 江申,2024,-0.4054091315383936
1525 江申,2025,0.25495825134847316
1526 日馳,2020,1.1117385447361823
1526 日馳,2021,0.06411975056408975
1526 日馳,2022,-0.10204936249722199
1526 日馳,2023,-0.3626266396281212
1526 日馳,2024,-0.6328087994413865
1526 日馳,2025,-1.0502261263418309
1527 鑽全,2020,-0.28500260509589154
1527 鑽全,2021,0.13448269594214185
1527 鑽全,2022,0.02270952747448272
1527 鑽全,2023,0.10746838732903119
1527 鑽全,2024,0.16124602318871292
1527 鑽全,2025,-0.5929115768864248
1528 恩德,2020,0.03160260554572716
