coid,year_q,ppo_quarter_end
6582,2023Q3,-0.4947596112990099
6582,2023Q4,-0.06723139130063958
6582,2024Q1,-1.4512048240613313
6582,2024Q2,4.213176269417151
6582,2024Q3,2.2324949964329317
6582,2024Q4,-0.5802506883129938
6582,2025Q1,-3.5324549876459153
6582,2025Q2,-3.633455760086785
6582,2025Q3,-2.854603892859078
6582,2025Q4,-0.1877446535600472
6584,2020Q1,-10.20861933863506
6584,2020Q2,-0.4459969173700312
6584,2020Q3,-0.5980971011578349
6584,2020Q4,-1.3515175725717683
6585,2020Q1,-5.652273812280564
6585,2020Q2,3.6745917712467433
6585,2020Q3,-0.06535771588999653
6585,2020Q4,0.9117042550668735
6585,2021Q1,4.006877342150167
6585,2021Q2,1.1586437014910058
6585,2021Q3,-0.6052943345231948
6585,2021Q4,3.2137420707256745
6585,2022Q1,-0.9197406855288514
6585,2022Q2,2.7242666605168298
6585,2022Q3,-5.2889318700312264
6585,2022Q4,3.375134812587527
6585,2023Q1,-0.06081107662297219
6585,2023Q2,3.324365076631682
6585,2023Q3,1.8585965343825985
6585,2023Q4,1.3079980871123438
6585,2024Q1,4.176467436972446
6585,2024Q2,0.45179900310256416
6585,2024Q3,-0.31150682816937475
6585,2024Q4,0.8589998443259276
6585,2025Q1,-3.3751641603296343
6585,2025Q2,-2.009071677439909
6585,2025Q3,0.060079059444577206
6585,2025Q4,-1.2572041720397062
6588,2020Q1,-11.670158260422186
6588,2020Q2,12.324844161651574
6588,2020Q3,-6.744020648960346
6588,2020Q4,-1.3947517651947168
6589,2020Q1,-2.3172247285325698
6589,2020Q2,3.502399384969501
6589,2020Q3,-0.17933275825775746
6589,2020Q4,0.14885658481516353
6589,2021Q1,17.292885238543747
6589,2021Q2,-0.8641225491448153
6589,2021Q3,-0.5621033686866159
6589,2021Q4,-0.34371864088510146
6589,2022Q1,-2.4730396365808343
6589,2022Q2,2.0686077465338313
6589,2022Q3,-2.302548834830702
6589,2022Q4,-2.1430983402057606
6589,2023Q1,-0.2856876834039491
6589,2023Q2,-0.15526564795611805
6589,2023Q3,0.6362613420599439
6589,2023Q4,-0.6161117225403263
6589,2024Q1,-1.97738080402456
6589,2024Q2,2.4122978218927
6589,2024Q3,0.9187564966784146
6589,2024Q4,-2.5040370679024657
6589,2025Q1,-1.4490306581765209
6589,2025Q2,-0.18691033000812746
6589,2025Q3,1.319279227467776
6589,2025Q4,-4.139557141459474
6590,2020Q1,0.6294270841516016
6590,2020Q2,5.7851768848751295
6590,2020Q3,-1.0157142950593943
6590,2020Q4,0.1687263575836364
6591,2020Q1,-11.033475219428341
6591,2020Q2,0.02648939479685707
6591,2020Q3,-2.7014565751092197
6591,2020Q4,-1.774010026717061
6591,2021Q1,1.7639335453569944
6591,2021Q2,0.41429711987894313
6591,2021Q3,-1.0518648490507911
6591,2021Q4,1.6915965541010194
6591,2022Q1,1.3152735045217105
6591,2022Q2,-2.701842676827162
6591,2022Q3,-3.0730847324736903
6591,2022Q4,-1.0400606852256267
6591,2023Q1,2.9018326391916687
6591,2023Q2,0.6984220975148977
6591,2023Q3,-0.31004048220950997
6591,2023Q4,-0.04461309659058112
6591,2024Q1,2.057247167632576
6591,2024Q2,-0.036773585264673926
6591,2024Q3,0.08597422364679862
6591,2024Q4,0.8522326614463407
6591,2025Q1,-1.620970816764918
