coid,year,K_avg
1471,2022,40.13199181608288
1471,2023,43.496078325514375
1471,2024,38.18171713399634
1471,2025,39.62212752333214
1472,2020,39.55893075477689
1472,2021,50.989718951710756
1472,2022,46.35241570696097
1472,2023,50.35458524417266
1472,2024,46.17667757610657
1472,2025,50.28376671252233
1473,2020,44.518402704163414
1473,2021,53.85042567541616
1473,2022,54.8497726841681
1473,2023,56.31469314342889
1473,2024,47.64858596960173
1473,2025,48.59717462153968
1474,2020,38.49349082171078
1474,2021,43.38411741071388
1474,2022,43.64502052185777
1474,2023,44.767139596519534
1474,2024,48.702595658325656
1474,2025,43.71671761790747
1475,2020,54.12045115932938
1475,2021,50.46805625770088
1475,2022,42.699970345828405
1475,2023,42.85507955451499
1475,2024,49.11731827945639
1475,2025,39.88181516532653
1476,2020,50.21797762554653
1476,2021,53.36584601293898
1476,2022,50.46855932236455
1476,2023,50.45100619707356
1476,2024,46.535841645492475
1476,2025,44.61897821591147
1477,2020,51.77781610171429
1477,2021,54.20015269300272
1477,2022,48.68351663078369
1477,2023,50.730777488524566
1477,2024,49.60330508527543
1477,2025,52.22010122780169
1503,2020,55.34384046162121
1503,2021,55.7792530482582
1503,2022,50.09941815173554
1503,2023,44.46193715273599
1503,2024,42.544038527677465
1503,2025,42.66208987849619
1504,2020,44.05928156289668
1504,2021,50.79576080708443
1504,2022,44.80353541349642
1504,2023,49.608110219984134
1504,2024,50.269670469863215
1504,2025,47.595066166329865
1506,2020,40.75130891104869
1506,2021,47.178736609656944
1506,2022,47.66173261904568
1506,2023,49.10889443257591
1506,2024,45.1607928139234
1506,2025,48.7732260962163
1512,2020,46.269378206386854
1512,2021,46.85639006492321
1512,2022,41.015823643923824
1512,2023,42.28042113012603
1512,2024,41.972962663106316
1512,2025,46.84031943520671
1513,2020,55.45333491119292
1513,2021,46.424899490184984
1513,2022,50.56918178009964
1513,2023,48.320070279735404
1513,2024,44.8821260054922
1513,2025,46.074708442683786
1514,2020,49.44659365633951
1514,2021,52.84593935867138
1514,2022,47.22858509350346
1514,2023,49.79352493487755
1514,2024,41.48684633768878
1514,2025,44.602756504601594
1515,2020,45.890804098291675
1515,2021,43.71873649723326
1515,2022,43.386957358338854
1515,2023,47.64230437550735
1515,2024,40.90438320754929
1515,2025,44.04768906502989
1516,2020,51.68160918773047
1516,2021,51.52764282842579
1516,2022,41.15867208164374
1516,2023,42.73752355410246
1516,2024,35.20262879930248
1516,2025,46.51210247391911
1517,2020,49.41441274245447
1517,2021,48.233368064646314
1517,2022,43.446201436340736
1517,2023,42.80256384900445
1517,2024,40.75867866745492
1517,2025,44.89618449937763
1519,2020,49.87120747289344
1519,2021,41.52777318960416
1519,2022,49.19548434858091
1519,2023,54.093998967396054
1519,2024,47.422805119603765
1519,2025,46.38863331517527
