coid,year_q,RSI
1617 榮星,2022Q3,35.327124403563765
1617 榮星,2022Q4,45.104050822693324
1617 榮星,2023Q1,56.240535441669174
1617 榮星,2023Q2,58.59012436202372
1617 榮星,2023Q3,46.21564120799413
1617 榮星,2023Q4,48.626671612272766
1617 榮星,2024Q1,61.60222507967386
1617 榮星,2024Q2,52.03569367962567
1617 榮星,2024Q3,49.43616759646974
1617 榮星,2024Q4,47.96325542991381
1617 榮星,2025Q1,53.60970899304779
1617 榮星,2025Q2,43.04773677302068
1617 榮星,2025Q3,60.64519673744996
1617 榮星,2025Q4,56.574005292439
1618 合機,2020Q1,36.50697245742168
1618 合機,2020Q2,58.77169168378772
1618 合機,2020Q3,33.30481447529535
1618 合機,2020Q4,54.710063679483426
1618 合機,2021Q1,64.77278413696237
1618 合機,2021Q2,57.96533198292057
1618 合機,2021Q3,64.3792060752445
1618 合機,2021Q4,53.33897219556395
1618 合機,2022Q1,45.44679187887486
1618 合機,2022Q2,38.749674530521325
1618 合機,2022Q3,42.790557315157976
1618 合機,2022Q4,53.7718978343379
1618 合機,2023Q1,71.53039433410842
1618 合機,2023Q2,52.29711900316934
1618 合機,2023Q3,77.03262418565014
1618 合機,2023Q4,55.447184050649135
1618 合機,2024Q1,59.11843168828903
1618 合機,2024Q2,56.75148089130989
1618 合機,2024Q3,67.13436768061372
1618 合機,2024Q4,72.98598881225686
1618 合機,2025Q1,34.33230147782899
1618 合機,2025Q2,49.69347278933058
1618 合機,2025Q3,45.84229796967548
1618 合機,2025Q4,49.645526578731655
1623 大東電,2024Q2,40.02027285095463
1623 大東電,2024Q3,61.14848325383012
1623 大東電,2024Q4,57.02842926351516
1623 大東電,2025Q1,42.553165629527136
1623 大東電,2025Q2,69.45502701250402
1623 大東電,2025Q3,63.51116658518679
1623 大東電,2025Q4,67.38578672360063
1626 艾美特-KY,2020Q1,27.246182927974232
1626 艾美特-KY,2020Q2,63.05403124024396
1626 艾美特-KY,2020Q3,40.24562864535045
1626 艾美特-KY,2020Q4,47.3230806332064
1626 艾美特-KY,2021Q1,57.473845388766556
1626 艾美特-KY,2021Q2,70.98587038378342
1626 艾美特-KY,2021Q3,31.311728619294556
1626 艾美特-KY,2021Q4,91.06512370975611
1626 艾美特-KY,2022Q1,44.10096568629309
1626 艾美特-KY,2022Q2,34.44475883291101
1626 艾美特-KY,2022Q3,35.47233258905334
1626 艾美特-KY,2022Q4,34.69377476947406
1626 艾美特-KY,2023Q1,55.53063245243618
1626 艾美特-KY,2023Q2,40.014774693847755
1626 艾美特-KY,2023Q3,60.541700230390326
1626 艾美特-KY,2023Q4,40.697372281437126
1626 艾美特-KY,2024Q1,43.90294430857857
1626 艾美特-KY,2024Q2,49.00808279078295
1626 艾美特-KY,2024Q3,91.99383157832445
1626 艾美特-KY,2024Q4,31.208065204870316
1626 艾美特-KY,2025Q1,22.043610906008833
1626 艾美特-KY,2025Q2,27.938968540170915
1626 艾美特-KY,2025Q3,63.67628220672401
1626 艾美特-KY,2025Q4,25.010352606217022
1702 南僑,2020Q1,40.974306494120746
1702 南僑,2020Q2,55.96890143893303
1702 南僑,2020Q3,38.472456359316645
1702 南僑,2020Q4,62.146243258068466
1702 南僑,2021Q1,59.84108578817292
1702 南僑,2021Q2,41.73830184362413
1702 南僑,2021Q3,58.748907701288545
1702 南僑,2021Q4,81.85877636257358
1702 南僑,2022Q1,46.65823850686848
1702 南僑,2022Q2,50.21996279331098
1702 南僑,2022Q3,52.77341332451538
1702 南僑,2022Q4,63.10774879398154
1702 南僑,2023Q1,55.40421243718249
1702 南僑,2023Q2,45.93774483958494
1702 南僑,2023Q3,66.71325695879798
1702 南僑,2023Q4,67.47712798952041
1702 南僑,2024Q1,59.69869699060118
1702 南僑,2024Q2,53.639728034890496
1702 南僑,2024Q3,72.12787702674296
1702 南僑,2024Q4,34.60991517595234
1702 南僑,2025Q1,25.747505362869894
1702 南僑,2025Q2,37.7907207907937
1702 南僑,2025Q3,46.47830290400957
1702 南僑,2025Q4,56.228193621151725
1707 葡萄王,2020Q1,47.01633646665417
1707 葡萄王,2020Q2,51.74792447955985
1707 葡萄王,2020Q3,8.016156725930681
1707 葡萄王,2020Q4,53.54472552980006
1707 葡萄王,2021Q1,63.2577033556147
1707 葡萄王,2021Q2,55.45489531811902
1707 葡萄王,2021Q3,44.44680916627553
1707 葡萄王,2021Q4,39.23874404431029
1707 葡萄王,2022Q1,43.748772512709124
1707 葡萄王,2022Q2,38.096641676594786
1707 葡萄王,2022Q3,31.491185247296706
1707 葡萄王,2022Q4,74.72625298885728
1707 葡萄王,2023Q1,54.05600237163283
1707 葡萄王,2023Q2,46.65888059100809
1707 葡萄王,2023Q3,52.518556945176464
1707 葡萄王,2023Q4,67.56933376407275
1707 葡萄王,2024Q1,55.7152576279598
1707 葡萄王,2024Q2,50.762613129246745
1707 葡萄王,2024Q3,48.30303556871977
1707 葡萄王,2024Q4,35.79795009588731
1707 葡萄王,2025Q1,22.091067145809763
1707 葡萄王,2025Q2,42.01698122678536
1707 葡萄王,2025Q3,54.26828435045291
1707 葡萄王,2025Q4,44.425522428731284
1708 東鹼,2020Q1,41.351258068797094
1708 東鹼,2020Q2,81.0316481637117
1708 東鹼,2020Q3,43.56226306913563
1708 東鹼,2020Q4,60.423131148778786
1708 東鹼,2021Q1,72.96930620042097
1708 東鹼,2021Q2,72.07497045476268
1708 東鹼,2021Q3,69.88901094776577
1708 東鹼,2021Q4,53.8328782154146
1708 東鹼,2022Q1,63.89846034037417
1708 東鹼,2022Q2,32.58356444236819
1708 東鹼,2022Q3,24.19189951781616
1708 東鹼,2022Q4,31.13168815987158
1708 東鹼,2023Q1,51.0517969776798
1708 東鹼,2023Q2,54.289900082750364
1708 東鹼,2023Q3,33.26843610041026
1708 東鹼,2023Q4,47.3589151254807
1708 東鹼,2024Q1,47.74154998658563
1708 東鹼,2024Q2,53.3670315881132
1708 東鹼,2024Q3,60.781583085020465
1708 東鹼,2024Q4,29.20671116694931
1708 東鹼,2025Q1,30.82131801905046
1708 東鹼,2025Q2,33.3481870502265
1708 東鹼,2025Q3,44.827669796808756
1708 東鹼,2025Q4,44.652421939337934
1709 和益,2020Q1,45.478287006830655
1709 和益,2020Q2,51.49702177355135
1709 和益,2020Q3,23.547197541235455
1709 和益,2020Q4,48.920723662465456
1709 和益,2021Q1,82.76421307627282
1709 和益,2021Q2,58.02776063098839
1709 和益,2021Q3,66.85695937937203
1709 和益,2021Q4,67.73645091412529
1709 和益,2022Q1,50.01112343014593
1709 和益,2022Q2,37.653104034920666
1709 和益,2022Q3,35.433704547830764
1709 和益,2022Q4,38.54324615943136
1709 和益,2023Q1,58.617206955126875
1709 和益,2023Q2,39.73871229590561
1709 和益,2023Q3,47.039590113183486
1709 和益,2023Q4,47.29166986072427
1709 和益,2024Q1,33.36587056339783
1709 和益,2024Q2,76.70090024238486
1709 和益,2024Q3,55.47450725160058
1709 和益,2024Q4,27.99731288576582
1709 和益,2025Q1,20.06741483827355
1709 和益,2025Q2,50.4235562297231
1709 和益,2025Q3,44.019241343440086
1709 和益,2025Q4,45.53210748194257
1710 東聯,2020Q1,28.80193562103528
1710 東聯,2020Q2,48.38425697949763
1710 東聯,2020Q3,35.19253910981191
1710 東聯,2020Q4,62.6922174997679
1710 東聯,2021Q1,45.26464279828982
1710 東聯,2021Q2,53.14066821945968
1710 東聯,2021Q3,64.65441503702392
1710 東聯,2021Q4,57.53369036964266
1710 東聯,2022Q1,57.26849938717857
1710 東聯,2022Q2,37.93240478049651
1710 東聯,2022Q3,34.96631702728122
1710 東聯,2022Q4,49.76231200968694
1710 東聯,2023Q1,64.39046064212201
1710 東聯,2023Q2,48.82818215402629
1710 東聯,2023Q3,12.325346953909014
1710 東聯,2023Q4,54.61691864537196
1710 東聯,2024Q1,38.209139426137654
1710 東聯,2024Q2,46.833458611621246
1710 東聯,2024Q3,66.86193995405485
1710 東聯,2024Q4,36.58975469060043
1710 東聯,2025Q1,35.22338364255507
1710 東聯,2025Q2,30.47247251852831
