coid,year,RSI
1467,2024,30.599617895268565
1467,2025,62.87267109003961
1468,2020,61.222490358323476
1468,2021,64.24296563204386
1468,2022,56.77989057344006
1468,2023,80.80147886026326
1468,2024,34.671297055346194
1468,2025,58.65787144111203
1470,2020,45.945141757437845
1470,2021,36.4747240119421
1470,2022,47.341020013127576
1470,2023,47.38927023308276
1470,2024,79.21349579086446
1470,2025,50.958508072134954
1471,2020,69.79644366832048
1471,2021,61.390190162084735
1471,2022,31.248275946555676
1471,2023,34.0065552782661
1471,2024,32.70233715657505
1471,2025,48.31081229407999
1472,2020,68.56452544303043
1472,2021,61.125806782354665
1472,2022,61.329331253113274
1472,2023,36.37539068097678
1472,2024,48.242044252657465
1472,2025,28.044462255275754
1473,2020,77.5189247432101
1473,2021,71.03577081135582
1473,2022,53.25126917311708
1473,2023,52.33055005372762
1473,2024,54.54800278722946
1473,2025,48.09100564307836
1474,2020,62.57311369131331
1474,2021,62.4366653374839
1474,2022,45.07001194694648
1474,2023,49.49428177416973
1474,2024,32.03640625464429
1474,2025,30.151971252279807
1475,2020,81.53574762435751
1475,2021,58.43816535442783
1475,2022,37.73416765214827
1475,2023,50.234109798754545
1475,2024,39.08459584176771
1475,2025,24.635109429175433
1476,2020,78.44394599473685
1476,2021,69.92474889561922
1476,2022,62.77653047447276
1476,2023,47.96858910633702
1476,2024,45.49935460107599
1476,2025,37.08181408880576
1477,2020,56.543843366698496
1477,2021,50.645713460231754
1477,2022,42.34126680628898
1477,2023,61.396160126001874
1477,2024,65.07753241922518
1477,2025,41.76625873957281
1503,2020,55.86518600263355
1503,2021,53.67612676951988
1503,2022,57.65105209700471
1503,2023,50.22985935113585
1503,2024,43.87358532615331
1503,2025,48.279711341014774
1504,2020,46.89711051348354
1504,2021,65.8034586362816
1504,2022,47.59356558211929
1504,2023,60.333319442377245
1504,2024,48.30016319929856
1504,2025,40.84420294139147
1506,2020,43.81852163466824
1506,2021,40.41495006106041
1506,2022,43.51131896060161
1506,2023,52.63943728274799
1506,2024,52.06824153175547
1506,2025,43.17596419309681
