coid,year,RET,ROA,EPS,ROE,OM,FCF,total_assets,LEV,BIAS,PPO,K,RSI
2235,2022,22.9901,7.94,4.59,12.67,13.56,13.833397037372167,2143708.0,36.73,-5.931370972331141,,,
2235,2023,6.1787,4.68,2.42,6.53,13.12,7.918379049985663,1717698.0,24.29,-0.1665128546439171,,,
2235,2024,8.3222,5.97,2.67,7.35,10.68,3.830911492734478,1524130.0,14.25,8.122017057052316,,,
2235,2025,-21.4366,2.39,0.95,2.7,4.65,3.26731424246247,1412214.0,12.68,-15.135350456363984,,,
2236,2020,-10.9778,1.5,0.69,2.08,4.61,-10.58010184884666,2263862.0,42.63,-85.12822409207709,-0.4017056159935855,39.79552736781022,72.25172150602309
2236,2021,51.7006,3.56,1.47,5.57,6.56,-1.5092342966565042,2156741.0,43.02,-77.37251300031083,0.7909697820520024,45.78691815042007,70.06058460282937
2236,2022,6.4551,3.84,1.64,6.05,7.96,11.655499862744898,2031700.0,44.03,-76.12320386826084,-0.0297436603936276,41.120156866094895,69.3409870429219
2236,2023,173.5252,6.21,2.99,9.33,9.95,-27.92051966120204,2494211.0,36.72,-34.42626227696085,2.042364905431958,51.73815127652155,32.798378194968734
2236,2024,83.441,6.22,7.57,17.25,-17.08,343.7160069356966,9407456.0,75.42,20.31346665294092,1.0322119137637051,49.12098198265714,52.44349211649524
2236,2025,-3.7491,-2.97,-6.81,-18.64,-0.24,-20.584117252544637,8030353.0,71.28,15.935887454237804,-0.4855940884683986,48.70738851620213,67.30079033194251
2239,2020,14.8156,3.33,4.07,6.22,5.86,-1.6111326060931377,32412115.0,58.52,199.0124078933622,0.0063118680496666,45.692203105368485,73.99077535004707
2239,2021,-19.2261,3.51,5.64,6.87,3.33,-14.662106446100662,32154311.0,53.07,141.3977470363019,-0.3309891372475444,45.949441544275714,65.81394593948477
2239,2022,-26.9291,0.97,1.18,1.31,0.07,-4.958325784569036,36450693.0,58.16,76.53132086603289,-0.5368422229223855,48.11864921707907,36.027349925745426
2239,2023,2.2374,1.34,1.41,1.51,2.51,2.153213457427062,38022065.0,54.48,80.49520953299863,-0.0305455494362864,43.5349757811701,49.14700327295882
2239,2024,-41.0288,0.75,-0.09,0.07,0.43,16.746577524302303,37771680.0,52.53,6.471893263847496,-0.9434580752870564,35.58992886292395,16.131794353445564
