coid,year_q,RET,ROA,EPS,ROE,OM,FCF,BIAS,PPO,K,RSI,SIZE,LEV
1537,2021Q1,3.86,4.12,2.77,5.52,16.25,-1.025320202505015,-13.144748832372342,1.4020987626135004,56.21189149896773,65.89776123301213,15.534194726777764,24.11
1537,2021Q2,4.8784,7.4,5.23,11.33,15.25,45.991759907161416,-11.6809414694213,0.8339531348764716,59.424107456316925,60.93509638479705,15.628066441564265,41.78
1537,2021Q3,0.0,9.14,5.89,12.63,13.91,-1.4629528992440304,-12.975847982801062,0.0130725868191335,49.66063875477533,51.59809228577471,15.445171205515337,28.68
1537,2021Q4,0.7273,11.6,7.58,15.95,13.71,2.9575059267378725,-12.975847982801062,0.0100478335519319,34.06895388400303,54.186437900892834,15.474667346038917,27.94
1537,2022Q1,0.3652,4.8,3.16,6.54,16.72,-5.7701762738457765,-13.603193995494363,-0.0734521622133636,37.45859935041136,49.26293845042057,15.523357117717852,25.51
1537,2022Q2,-0.3676,9.32,6.39,13.63,14.91,23.752868366955425,-14.857886020880969,-0.2935272529654221,51.4182277445458,42.99665011645428,15.603743482904903,34.92
1537,2022Q3,-2.1277,13.89,9.48,19.17,13.54,-6.691792426191448,-8.906141797893236,-0.6359055094788904,65.30206150686908,38.13886092512892,15.595034983369017,27.22
1537,2022Q4,-0.7248,15.89,10.77,21.68,12.86,4.014510980463462,-9.56565940098107,0.0047219396203368,49.66493456090839,53.94690859116742,15.58120681325691,25.67
1537,2023Q1,2.1427,2.08,1.48,2.76,10.89,2.1777701565348853,-5.608553782454093,0.4797978731957968,65.77050991317218,63.78028072963073,15.582184499921093,23.83
1537,2023Q2,1.7856,4.85,3.55,7.08,11.44,45.86042622140103,-5.938312583998005,0.3909071235793386,53.54094521944085,57.74919822709036,15.630199460278618,37.13
1537,2023Q3,-1.1279,8.19,5.76,11.13,11.5,-3.877953034527789,-6.59783018708584,-0.1283063820992484,41.44198033102072,49.402772890369775,15.550523646102286,27.07
1537,2023Q4,-1.1236,10.62,7.43,14.35,11.59,6.649500851162114,-6.243942692746032,0.0486919385852231,52.35967857152863,58.61285167764483,15.542796748370876,26.33
1537,2024Q1,5.283,3.64,2.54,4.84,12.75,-7.183271945697202,-0.919544482451601,1.2304491276222758,63.92420572925351,66.02703397812796,15.58093050085036,23.55
1537,2024Q2,-3.0508,7.96,5.83,11.45,14.09,24.01402589709389,1.5737537731243458,-0.0820294812064378,51.01343890542036,44.87260168453442,15.66932938399001,34.14
1537,2024Q3,3.8062,13.13,9.23,17.68,14.89,6.487046914241248,11.908877187366532,0.4460336960939984,63.35592018014897,45.17050813372638,15.59053917715389,25.21
1537,2024Q4,-1.8987,16.14,11.75,21.73,13.99,-4.805748846867574,15.640781673131825,-0.29206640457046,42.13546613286355,44.57217917627208,15.658908511994811,25.26
1537,2025Q1,-3.8462,3.16,2.46,4.17,13.51,-2.5236953555503243,11.908877187366532,-0.3038751996322755,50.26746535852628,35.1935978736817,15.68240440098705,23.33
1537,2025Q2,-3.4603,4.91,3.7,7.08,13.72,71.58330994469063,4.075094926298918,-0.7145416230917685,46.55016585831223,41.92439299964709,15.616372473940864,36.4
1537,2025Q3,-1.1493,7.91,5.76,10.68,12.76,-2.7340364371914254,3.7533790223536303,-0.4509036600868378,51.33861380707253,49.47950014503921,15.548653491986393,27.01
1537,2025Q4,0.0001,10.79,7.95,14.32,12.07,-6.013093595857721,0.5362199829008044,0.2790153961252398,55.98567945051565,51.769985143987206,15.573477779887536,24.28
1538,2020Q1,-26.910862,11.84,1.43,35.846199999999804,-49.06,386.66490228490267,-42.41842610364684,-8.570570697915976,34.53506910623962,26.945016839346124,13.475424472985457,52.36
1538,2020Q2,20.743,10.54,1.3,35.846199999999804,-34.41,55.06334167243306,-7.615105334967508,5.904631424342486,61.80565813520128,68.9887905082706,13.475424472985457,59.19
1538,2020Q3,1.5191,6.05,1.84,24.32,-32.16,-15.088120443645977,-4.99425725936375,0.077490399724098,53.6482176772862,45.51679603289827,13.475424472985457,60.67
1538,2020Q4,27.5953,-1.38,-0.57,-7.74,-30.48,-74.08282504012841,-12.201589467274076,8.020128625806736,39.68095358392652,81.97811635527307,13.475424472985457,62.26
1538,2021Q1,11.634,-3.69,-0.64,-10.33,-31.71,22.608312814910235,-22.762065536618643,2.66797929333708,40.0840530580872,63.26141976838353,13.475424472985457,64.51
1538,2021Q2,0.8002,-6.75,-1.14,-19.59,-27.95,19.610362404859995,13.92980752183398,1.0931237776179568,58.926778629240246,51.12822555041669,13.475424472985457,67.16
1538,2021Q3,0.0,-10.94,-1.81,-30.668799999999997,-29.39,0.8448199199644287,-9.58074139167032,-0.0310400824303091,43.69153468453448,51.31565144793792,13.475424472985457,70.29
1538,2021Q4,-2.7647,-12.37,-3.58,-30.668799999999997,-26.7,-99.61612284069098,-4.608838424716133,-1.0792646587685453,54.339647883411246,44.20813503963002,13.475424472985457,86.78
1538,2022Q1,-13.0745,-9.91,-1.16,-30.668799999999997,-21.9,-22.90872356372405,-23.03185872087197,-4.593269271872838,39.43159229525556,46.53696822018541,13.475424472985457,86.78
1538,2022Q2,-14.0284,-6.43,-0.77,-30.668799999999997,-19.14,-3.5917573312198283,-39.60486861071927,-2.2454678192500857,37.04733021952968,45.83891206918766,13.475424472985457,79.45
1538,2022Q3,-9.6155,-7.92,-0.91,-30.668799999999997,-13.64,-36.70798250152876,-36.251724749285046,-1.8748740524597365,45.07064593969649,41.43418988563101,13.475424472985457,79.93
1538,2022Q4,33.1115,-8.4,-0.88,-30.668799999999997,-13.36,23.412798595833184,-27.656884736643303,4.437824412762675,42.0989877004389,57.87448709727067,13.475424472985457,79.13
1538,2023Q1,1.2235,-3.35,-0.36,-8.3,-24.06,-361.13885735906166,-17.713078802734923,2.076993440465647,47.10126214970882,61.496764075929086,13.475424472985457,44.69
1538,2023Q2,0.211,2.22,0.12,4.54,-20.85,150.61681907835754,-14.09014175704738,0.1102400318204182,45.625644919948265,51.420860850564175,13.475424472985457,39.71
1538,2023Q3,-6.2761,-7.24,-0.63,-17.47,-21.28,-12.277789997800395,1.2880697453923284,-0.5854164692933583,48.46483168650802,40.7771243635721,13.475424472985457,39.75
1538,2023Q4,28.5282,-8.63,-0.64,-20.25,-28.21,66.2034836581206,44.18518604167148,4.039980180450734,56.43213914857963,68.28374578535497,13.475424472985457,34.1
1538,2024Q1,-13.1112,-6.23,-0.36,-9.04,-92.11,-47.25571837992754,25.569456328191848,-3.951632700454765,26.796603291473005,29.630407198139903,13.475424472985457,26.83
1538,2024Q2,44.2564,-10.63,-0.61,-15.6,-61.92,-16.63414986631982,37.1320213676202,6.594366337408555,37.79939664636335,72.9874885278236,13.475424472985457,28.25
1538,2024Q3,-1.0871,-12.37,-1.0,-26.6,-57.13,-18.09167638784053,16.897532548620585,0.6411879449528567,46.6425973501949,57.09690541093552,13.475424472985457,31.76
1538,2024Q4,-3.8738,-12.37,-1.7,-27.03,-48.78,17.443198544169988,8.688111370626464,-0.5867732221655231,58.4228085726234,22.01514862984122,13.475424472985457,30.72
1538,2025Q1,-12.0691,-7.08,-0.58,-10.09,-35.96,-28.533638145003263,-1.7181971648590464,-2.804300251866796,54.18443897156804,30.26806329992496,13.475424472985457,28.09
1538,2025Q2,-5.7141,5.72,0.46,8.6,-39.56,265.6484264059972,1.7505723469694523,-2.003452700856707,43.18709375672909,45.10570205539072,13.475424472985457,39.12
1538,2025Q3,-3.6765,-4.24,-0.36,-6.93,-41.08,-54.44584780549416,0.979734677674232,-0.6033242664624449,37.14997521084506,31.25214382198962,13.475424472985457,40.66
1538,2025Q4,-5.0468,-12.37,-1.59,-30.668799999999997,-44.51,-84.93372275893057,-2.103615999506664,-0.2076791170162564,36.63776153164608,45.00557102111232,13.475424472985457,45.87
1539,2020Q1,-26.7568,0.87,0.42,2.06,4.18,-4.805427637360706,-36.82975968600674,-8.570570697915976,35.620363929007006,36.640177422089046,15.130213853784433,63.92
1539,2020Q2,-4.9723,0.63,0.26,1.31,5.39,9.42129180495277,-19.81792107203613,0.8949160810072828,65.25132311780625,45.37647569466319,15.202991964267175,67.99
1539,2020Q3,11.2251,0.39,0.08,0.43,5.61,-2.618438640686854,7.644876417411303,-0.3915695739005387,54.26451266067559,50.71642462236415,15.284326168019668,70.7
1539,2020Q4,-2.0151,-0.14,-0.28,-1.45,5.38,1.7842928245427028,-5.709126590142423,-0.0129749436950135,42.251680645878686,39.870342734057566,15.305432008225962,71.8
1539,2021Q1,14.7369,0.3,0.14,0.71,4.88,-6.149066102460601,5.670806407599015,3.336760007176507,51.829499391476176,79.43531358205178,15.098917731117032,65.09
1539,2021Q2,2.2856,0.6,0.28,1.47,6.09,2.056783341245079,-13.19898045090081,-0.5645898620052968,46.26253646433777,46.590241644594414,15.132618278825255,65.92
1539,2021Q3,1.462,1.94,1.1,5.6,6.86,1.6063830289635368,-15.86978105241155,0.4974982647789397,39.40850755053616,63.73111030932297,15.186459274667234,66.36
1539,2021Q4,12.5964,2.74,1.35,7.92,7.4,0.6591827494361553,6.193354351372856,-0.1757574441069774,49.220669146489634,46.36061377495084,15.18532944068444,65.88
1539,2022Q1,-3.6552,2.64,1.5,7.05,6.93,0.6979590042207284,-10.52817984939006,-1.2588903138772685,35.380858496045285,43.35555718397846,15.132495301009737,61.49
1539,2022Q2,-11.6354,8.03,4.56,20.33,7.47,9.801762412142862,36.21083067704797,0.1638622981376256,59.97898443484714,49.60280959960281,15.10583186963029,56.39
1539,2022Q3,-26.910862,12.01,6.29,27.02,8.26,0.1342497044502775,56.00959165781241,-5.073159032115746,49.11348357633651,27.74558237770069,14.931609395194863,44.4
1539,2022Q4,-12.1353,12.23,6.0,25.92,7.43,11.549512570548998,40.97182305365408,-1.6806159460100056,36.65920066898932,35.59038821361575,14.789522123268604,36.5
1539,2023Q1,9.3857,-0.05,-0.05,-0.21,0.12,11.614711915927408,57.983661667624695,1.416385150616522,50.53385591454296,58.13043728183088,14.778662738087665,35.94
1539,2023Q2,0.0,1.06,0.36,1.45,3.27,39.8576244123126,39.98478804874793,-0.0390467573660148,39.226914285914255,45.97751727741216,14.74040933408926,38.86
