coid,year,RET,ROA,EPS,ROE,OM,FCF,BIAS,PPO,K,RSI,SIZE,LEV
1108,2025,8.9833,8.92,2.18,16.1,24.97,-1.2979199151232537,3.89736747004697,0.2324853527764794,48.5759648335485,50.46721587345717,16.134202831041744,43.36
1109,2020,5.9416,12.61,2.94,15.95,27.69,-1.5365157267323988,-7.940663176265277,0.2103285139513464,55.329389169127445,48.35958404651885,16.284546345926223,19.22
1109,2021,10.4986,10.32,2.52,12.51,23.82,-2.0885357548240635,1.7825978558962716,0.0853086084883077,48.00209316009223,83.98360876382051,16.275299807035534,15.8
1109,2022,-18.5268,4.47,1.17,5.31,14.26,-3.317070436809685,-17.102966841186735,-0.3130837824411053,45.84362853970013,36.50207476660673,16.256989912659627,15.9
1109,2023,21.9907,7.02,2.01,8.22,15.8,6.887496733630055,1.1593118922961851,0.3447329540852317,50.86569257859433,59.32419379712115,16.263335605069962,13.6
1109,2024,3.2605,4.61,1.38,5.19,13.99,5.292167876211843,4.3380703066566815,0.1047883015514566,46.12806451865329,18.478782495910814,16.23847389392693,9.55
1109,2025,-7.4576,3.38,1.03,3.73,9.55,11.367945178553878,-3.3906756419845454,-0.2724337416169161,47.18613029173727,44.07499766993408,16.25272601449304,10.13
1110,2020,3.2142,0.22,0.04,0.2,-1.92,11.775409009104267,-6.198886900776098,0.068203496113511,59.049917672890544,62.35057384912771,16.104536134824563,13.35
1110,2021,13.6579,1.37,0.25,1.55,0.65,4.16814078381956,6.644565682733786,0.2248378320793613,45.67080876109668,55.8152449947139,16.20962596880391,20.51
1110,2022,-6.6415,1.07,0.26,1.24,-1.76,26.051239604832663,-0.4357992030472995,-0.2078761857671098,49.67197723551087,78.01885154880566,16.299557588385394,27.22
1110,2023,1.0349,1.52,0.26,1.76,2.61,-4.181203965221244,0.6070452374940889,0.1185002008646321,55.66926721420097,44.19918281990285,16.2854357101115,23.65
1110,2024,10.0117,3.28,0.61,4.06,11.7,-3.15784610120642,10.706170345895044,0.1821117166572951,49.16099726167926,42.89602550360024,16.35883838415706,24.81
1110,2025,-17.9152,1.99,0.36,2.38,8.48,4.455585837209401,-9.16276057389376,-0.6166778437639103,44.61590249021789,50.19386753875517,16.385178687564807,26.16
1201,2020,-5.31,3.54,1.06,7.77,3.19,-12.451054637444354,25.42251710449577,-0.1728490537836862,48.56573511076912,69.86739020019695,16.707631951022446,61.98
1201,2021,2.3248,3.34,1.0,7.3,3.25,13.113491384200971,28.369946256451417,0.0796596874247608,50.94595423030805,60.40471829054931,16.703607174131616,60.73
1201,2022,-12.2689,1.89,0.47,3.38,1.67,6.0086146278027694,12.692131618389446,-0.2308289823427481,47.734131919495525,48.81824311651297,16.686779173867365,59.04
1201,2023,1.2202,2.25,0.53,3.71,1.49,5.522797567054027,14.071779306538916,0.0288442562752695,48.4724243740046,42.44873363272131,16.70742085392576,59.55
1201,2024,-4.6709,3.07,0.87,5.91,2.5,-4.5464862703604965,8.741322329597836,-0.0950512937139138,45.32539458208276,44.36102878528538,16.68460658407843,56.11
1201,2025,-16.1182,1.65,0.4,2.65,1.68,2.2036596651167946,-8.75511880647932,-0.4637158349504025,42.79243412691178,31.268430669741548,16.68451322563492,56.46
